Station,Geology,Geomorphology,Soil,Slope_percent,Drainage_Density,Lineament_Density,LULC,NDVI,SAVI,Rainfall_mm,Groundwater_Potential_Class
Pattiseema,Basalt,Flood Plain,Alluvial Soil,5.94,1.95,0.3,Fallow Land,0.292,0.299,811.4,High
Pattiseema,Basalt,Structural Hills,Clayey Soil,2.16,3.91,0.22,Water Body,0.449,0.492,947.8,High
Pattiseema,Granodiorite,Flood Plain,Alluvial Soil,4.44,0.82,0.6,Agricultural Land,0.501,0.497,738.1,Moderate
Pattiseema,Granite,Denudational Hills,Clayey Soil,4.37,2.1,0.74,Water Body,0.104,0.06,557.7,Low
Pattiseema,Granodiorite,Alluvial Plain,Clayey Soil,8.63,3.65,0.78,Water Body,0.122,0.076,593.0,Low
Pattiseema,Granodiorite,Alluvial Plain,Black Cotton Soil,18.78,2.75,0.31,Forest,0.178,0.213,432.6,Very Low
Pattiseema,Granite,Structural Hills,Red Soil,26.52,2.07,0.67,Fallow Land,0.466,0.471,489.6,Low
Pattiseema,Schist,Alluvial Plain,Clayey Soil,17.18,2.36,0.78,Agricultural Land,0.228,0.243,538.7,Low
Pattiseema,Basalt,Structural Hills,Red Soil,3.12,3.24,0.46,Water Body,0.111,0.133,692.6,Moderate
Pattiseema,Granite,Pediplain,Clayey Soil,16.53,0.83,0.39,Fallow Land,0.461,0.418,895.5,Moderate
Pattiseema,Schist,Denudational Hills,Black Cotton Soil,14.14,2.15,0.54,Forest,0.573,0.608,868.3,Moderate
Pattiseema,Schist,Denudational Hills,Clayey Soil,10.52,3.99,0.46,Water Body,0.589,0.618,748.1,Moderate
Pattiseema,Granite,Flood Plain,Gravelly Loam,29.56,3.59,0.07,Agricultural Land,0.535,0.509,715.9,Moderate
Pattiseema,Basalt,Flood Plain,Black Cotton Soil,13.83,2.09,0.12,Water Body,0.295,0.325,660.4,Moderate
Pattiseema,Granodiorite,Pediplain,Gravelly Loam,17.54,3.04,0.65,Water Body,0.362,0.341,955.0,Moderate
Pattiseema,Granite,Denudational Hills,Alluvial Soil,11.21,4.09,0.18,Fallow Land,0.379,0.346,829.4,Moderate
Pattiseema,Granite,Denudational Hills,Black Cotton Soil,24.06,4.37,0.69,Agricultural Land,0.466,0.498,619.2,Moderate
Pattiseema,Gneiss,Flood Plain,Clayey Soil,19.22,1.16,0.71,Agricultural Land,0.309,0.357,867.5,Moderate
Pattiseema,Schist,Structural Hills,Alluvial Soil,6.69,2.02,0.78,Water Body,0.147,0.1,976.1,High
Pattiseema,Granite,Structural Hills,Red Soil,29.65,4.11,0.54,Built-up,0.559,0.52,931.7,Moderate
Pattiseema,Gneiss,Denudational Hills,Red Soil,3.83,0.85,0.59,Agricultural Land,0.54,0.543,571.0,Low
Pattiseema,Schist,Flood Plain,Black Cotton Soil,13.35,2.81,0.6,Built-up,0.47,0.439,829.6,Moderate
Pattiseema,Granite,Denudational Hills,Gravelly Loam,9.79,0.52,0.56,Agricultural Land,0.116,0.14,474.4,Low
Pattiseema,Basalt,Flood Plain,Alluvial Soil,20.98,2.55,0.28,Fallow Land,0.519,0.497,850.0,Moderate
Rajahmundry,Granodiorite,Flood Plain,Alluvial Soil,7.37,3.73,0.09,Built-up,0.304,0.33,1032.5,High
Rajahmundry,Gneiss,Flood Plain,Black Cotton Soil,11.7,1.41,0.34,Water Body,0.1,0.067,672.8,Moderate
Rajahmundry,Gneiss,Flood Plain,Red Soil,29.0,1.01,0.58,Built-up,0.109,0.101,419.0,Very Low
Rajahmundry,Schist,Flood Plain,Gravelly Loam,21.94,1.72,0.67,Fallow Land,0.502,0.454,1074.0,Moderate
Rajahmundry,Gneiss,Structural Hills,Black Cotton Soil,0.87,2.38,0.28,Agricultural Land,0.37,0.33,569.3,Low
Rajahmundry,Granite,Structural Hills,Alluvial Soil,27.14,3.91,0.55,Water Body,0.25,0.274,433.7,Very Low
Rajahmundry,Gneiss,Denudational Hills,Alluvial Soil,15.88,0.75,0.67,Fallow Land,0.391,0.441,999.0,Moderate
Rajahmundry,Basalt,Denudational Hills,Gravelly Loam,24.96,4.02,0.48,Agricultural Land,0.147,0.188,868.4,Moderate
Rajahmundry,Gneiss,Denudational Hills,Gravelly Loam,28.47,2.28,0.64,Water Body,0.27,0.236,519.4,Low
Rajahmundry,Granite,Alluvial Plain,Alluvial Soil,8.25,1.59,0.4,Forest,0.217,0.246,1079.5,Moderate
Rajahmundry,Basalt,Structural Hills,Alluvial Soil,4.63,1.61,0.78,Built-up,0.281,0.278,432.0,Very Low
Rajahmundry,Granite,Flood Plain,Gravelly Loam,6.61,2.57,0.05,Water Body,0.198,0.209,596.5,Low
Rajahmundry,Granite,Alluvial Plain,Clayey Soil,6.95,2.09,0.08,Agricultural Land,0.242,0.238,707.0,Moderate
Rajahmundry,Gneiss,Flood Plain,Black Cotton Soil,15.47,4.0,0.42,Fallow Land,0.409,0.37,641.7,Moderate
Rajahmundry,Basalt,Denudational Hills,Clayey Soil,22.03,4.03,0.55,Agricultural Land,0.565,0.532,672.9,Moderate
Rajahmundry,Basalt,Alluvial Plain,Gravelly Loam,0.55,3.05,0.09,Forest,0.512,0.558,974.8,High
Rajahmundry,Schist,Alluvial Plain,Alluvial Soil,20.05,0.87,0.5,Water Body,0.228,0.245,960.2,Moderate
Rajahmundry,Gneiss,Structural Hills,Red Soil,20.22,3.21,0.32,Forest,0.14,0.125,1059.2,Moderate
Rajahmundry,Basalt,Flood Plain,Red Soil,5.57,3.05,0.61,Agricultural Land,0.169,0.131,508.0,Low
Rajahmundry,Granite,Alluvial Plain,Alluvial Soil,2.99,2.1,0.73,Water Body,0.447,0.45,714.2,Moderate
Rajahmundry,Schist,Denudational Hills,Red Soil,2.79,2.67,0.7,Built-up,0.294,0.329,682.7,Moderate
Rajahmundry,Gneiss,Alluvial Plain,Gravelly Loam,3.42,4.06,0.06,Water Body,0.325,0.333,931.5,High
Rajahmundry,Granite,Denudational Hills,Black Cotton Soil,13.2,1.07,0.72,Fallow Land,0.444,0.431,516.8,Low
Rajahmundry,Granite,Structural Hills,Red Soil,11.88,3.67,0.5,Water Body,0.359,0.347,404.7,Very Low
Rajahmundry,Gneiss,Flood Plain,Black Cotton Soil,5.44,4.39,0.22,Fallow Land,0.39,0.396,473.7,Low
Rajahmundry,Gneiss,Structural Hills,Clayey Soil,11.95,1.14,0.07,Forest,0.292,0.246,421.7,Very Low
Rajahmundry,Schist,Alluvial Plain,Alluvial Soil,9.76,4.05,0.5,Fallow Land,0.55,0.512,1069.1,Moderate
Rajahmundry,Basalt,Alluvial Plain,Alluvial Soil,11.87,1.86,0.46,Fallow Land,0.244,0.29,672.6,Moderate
Rajahmundry,Gneiss,Pediplain,Alluvial Soil,13.49,1.71,0.24,Fallow Land,0.371,0.397,983.6,Moderate
Rajahmundry,Basalt,Flood Plain,Clayey Soil,16.95,1.89,0.49,Forest,0.271,0.248,1076.5,Moderate
Rajahmundry,Granodiorite,Flood Plain,Clayey Soil,26.47,2.99,0.48,Fallow Land,0.344,0.334,1095.7,Moderate
Rajahmundry,Granodiorite,Flood Plain,Clayey Soil,27.25,1.03,0.49,Water Body,0.174,0.209,897.6,Moderate
Rajahmundry,Granodiorite,Denudational Hills,Alluvial Soil,2.2,3.22,0.4,Built-up,0.119,0.144,784.5,High
Rajahmundry,Gneiss,Alluvial Plain,Black Cotton Soil,25.97,2.85,0.33,Built-up,0.331,0.379,738.4,Moderate
Rajahmundry,Schist,Structural Hills,Black Cotton Soil,26.89,2.32,0.38,Agricultural Land,0.559,0.545,908.0,Moderate
Rajahmundry,Gneiss,Flood Plain,Clayey Soil,9.3,1.46,0.28,Fallow Land,0.13,0.08,848.1,Moderate
Rajahmundry,Gneiss,Pediplain,Red Soil,23.0,4.22,0.07,Fallow Land,0.586,0.558,913.8,Moderate
Rajahmundry,Gneiss,Pediplain,Red Soil,6.72,4.33,0.06,Agricultural Land,0.279,0.309,595.1,Low
Rajahmundry,Basalt,Structural Hills,Gravelly Loam,10.58,3.03,0.1,Agricultural Land,0.145,0.095,430.9,Very Low
Rajahmundry,Schist,Flood Plain,Black Cotton Soil,3.11,2.45,0.11,Built-up,0.483,0.518,829.5,High
Rajahmundry,Granodiorite,Alluvial Plain,Red Soil,0.68,0.9,0.7,Forest,0.416,0.424,888.4,High
Rajahmundry,Granodiorite,Flood Plain,Black Cotton Soil,21.45,3.17,0.21,Fallow Land,0.221,0.219,501.6,Low
Rajahmundry,Gneiss,Alluvial Plain,Alluvial Soil,6.97,0.63,0.21,Agricultural Land,0.392,0.426,784.3,High
Rajahmundry,Granodiorite,Pediplain,Gravelly Loam,24.73,2.72,0.53,Water Body,0.46,0.497,717.8,Moderate
Rajahmundry,Schist,Pediplain,Red Soil,4.04,4.17,0.59,Forest,0.252,0.231,794.3,High
Rajahmundry,Granodiorite,Alluvial Plain,Red Soil,3.53,1.26,0.64,Agricultural Land,0.461,0.438,681.7,Moderate
Rajahmundry,Granite,Flood Plain,Red Soil,27.96,3.81,0.15,Water Body,0.27,0.314,457.9,Low
Rajahmundry,Gneiss,Structural Hills,Alluvial Soil,12.96,2.01,0.75,Forest,0.386,0.427,1060.1,Moderate
Rajahmundry,Basalt,Structural Hills,Black Cotton Soil,25.41,3.2,0.15,Fallow Land,0.121,0.127,1051.1,Moderate
Rajahmundry,Schist,Flood Plain,Black Cotton Soil,20.45,4.28,0.25,Water Body,0.191,0.169,490.7,Low
Rajahmundry,Granodiorite,Flood Plain,Gravelly Loam,11.86,3.96,0.41,Agricultural Land,0.6,0.56,749.0,Moderate
Rajahmundry,Granite,Flood Plain,Alluvial Soil,24.75,3.9,0.21,Water Body,0.126,0.153,691.6,Moderate
Rajahmundry,Schist,Denudational Hills,Gravelly Loam,4.53,3.11,0.6,Fallow Land,0.439,0.45,606.7,Moderate
Rajahmundry,Granite,Pediplain,Clayey Soil,3.02,0.67,0.55,Water Body,0.441,0.438,805.4,High
Rajahmundry,Granodiorite,Flood Plain,Alluvial Soil,27.38,3.85,0.58,Built-up,0.15,0.169,569.3,Low
Rajahmundry,Schist,Pediplain,Alluvial Soil,0.79,2.36,0.77,Water Body,0.302,0.305,816.6,High
Rajahmundry,Granodiorite,Flood Plain,Alluvial Soil,4.38,3.93,0.48,Forest,0.327,0.304,553.9,Low
Rajahmundry,Granite,Denudational Hills,Black Cotton Soil,10.58,3.46,0.22,Fallow Land,0.191,0.185,632.5,Moderate
Rajahmundry,Granite,Structural Hills,Black Cotton Soil,1.2,4.09,0.64,Water Body,0.423,0.47,992.9,Very High
Rajahmundry,Schist,Pediplain,Gravelly Loam,18.3,2.39,0.09,Forest,0.55,0.571,1056.2,Moderate
